SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,# CREW,# PASS,LIVES LOST,SHIP VALUE,NATURE OF CARGO,USLSS STATION NAME,MISC INFORMATION
Isaac H Tillyer,,National Beard Cargo,Schooner,1884,"Dennisville, NJ",10/28/1889,1889,10,28,"Off Barnegat, NJ",,,"Collision w/ ""Mary A Hall""",Wood,,"Philadelphia, PA","Gardiner, ME","Philadelphia, PA",7,,0,"$20,000",800 tons ice,,#100359; Partial loss; Beached
Isaac Hinkley,,Spofford et al,Schooner,1852,"Rockland, ME",7/25/1871,1871,7,25,"Off Barnegat, NJ",,,Capsized,,US,"New York, NY","James River, VA","New York, NY",6,,6,,,,Total loss; crew lost
Isaac L Clark,Rober Moore,Dare B Mulford,Schooner 3 masted,1874,"Bridgeton, NJ",12/17/1882,1882,12,17,Sandy Hook Point,,,Stranded,,,"Camden, NJ","Georgetown, DC","New York, NY",7,,0,"$15,000",507 tons coal,Sandy Hook,"#100109; Renamed ""Rober Moore"""
Isaac Newton (1847),,,Schooner,,,12/1847,1847,12,,Perth Amboy,,,Wrecked,,,,"Barnegat, NJ",,,,,,,,Total loss
Isaac Newton (1863),,,Riverboat,,,12/5/1863,1863,12,5,"Fort Lee, NJ",,,Explosion; Burned,,,,,,,,9,,,,
Isaac Oberton,,,Schooner 3 masted,1870,"New Castle, ME",10/28/1889,1889,10,28,Townsends Inlet North bar,,,Stranded,Wood,,"Rockland, ME","Bangor, ME","Philadelphia, PA",7,,0,"$10,000",Lumber,,#12492; Refloated
Isaac Rich,,Bryant,Schooner,1866,"Gloucester, MA",1/15/1874,1874,1,15,Cape May E 100 mi,,,"Collision w/ ""John Albert Smith""",,,"Salem, MA","Salem, MA","Philadelphia, PA",,,,,400 lbs herring; 120 bbls mackerel,,
Isaac Webb,,C H Marshall,Packet ship,1850,"New York, NY",11/19/1868,1868,11,19,Sandy Hook Light Outer Middle Ground,,,Stranded in gale,,US,"New York, NY","Liverpool, England","New York, NY",,400-500,,,,,Refloated
Isabel,Ella Warley,,Steamship,1848,,2/9/1863,1863,2,9,Sandy Hook S,,,"Collision w/ ""North Star""",,,,"New York, NY","Havana, Cuba",30,20,6,,"Passengers, gold coins, dry goods, leather, hay",,Sank
Isabel B Wiley,,Atlas Shipping Corp,Schooner 3 masted,1906,"Bath, ME",6/2/1918,1918,6,2,Barnegat E 70 mi,39-01-00 N,73-07-00 W,Torpedoed by U-151,,US,"Philadelphia, PA","Perth Amboy, NJ","Newport News, VA",7,,0,"$100,000",No cargo; Looted by sub crew,,#202848; Total loss; Black Sunday wreck
Isabella (1850),,,Schooner,,,4/1850,1850,4,,Sandy Hook W,,,,,,"New Bern, NC",,,6,0,6,,50 bales cotton;140 bbls resin,,
Isabella (1851),,,Brig,,,1/6/1851,1851,1,6,,,,Leaking,,,"Dundee, Scotland","Shields, England","New Haven, CT",8,,,,,,"Crew rescued by ""Elizabeth Frith"""
Isle of Pines,,,Schooner,1856,"Great Egg Harbor, NJ",8/3/1871,1871,8,3,Hereford Inlet,,,Collision; Damaged,,US,"New Gretna, NJ",Virginia,"New York, NY",,,,,,,
Isola,,J W Oressen,Brig Half,1848,"Searsport, ME",11/26/1872,1872,11,26,Sandy Hook Point,,,Stranded,,,"Castine, ME","Wilmington, NC","Boston, MA",,,,,1404 Bbls resin; 100 casks turpentine,,Refloated & repaired
Israel J Merritt,,Curtis et al,Schooner,1868,"Staten Island, NY",3/23/1874,1874,3,23,Cape May,,,Capsized & righted in heavy gale,,,"Squan, NJ",,,,,,,,,Towed to Philadelphia
Italia,,R Giacopello,Bark,1876,"Lerici, Italy",1/16/1879,1879,1,16,Deal Beach,39-12-10 N,74-38-30 W,Stranded in snow storm,Wood,Italy,"Spezzia, Italy","Plymouth, England","New York, NY",14,,0,"$35,000",In ballast,Deal #6,Total loss
Italian Frigate,,,Warship,,,12/29/1863,1863,12,29,"Long Branch, NJ",,,,,,,,,50,,0,,,,
Ithaca,,Peter Hogan,Tug steam,1891,"Brooklyn, NY",8/6/1922,1922,8,6,Atlantic City,,,Foundered,Wood,,"New York, NY","New York, NY","Philadelphia, PA",6,,0,"$10,000",None,,#110955; Refused assistance
Ivanhoe (1890),,,Tug steam,1883,"Philadelphia, PA",10/28/1890,1890,10,28,Cape May LSS S 2 mi,,,Stranded,Steel,,"Philadelphia, PA",,"Philadelphia, PA",6,,0,"$30,000",,Cape May,#199340; Refloated
Ivanhoe (1893),,,Tug steam,1883,"Philadelphia, PA",2/19/1893,1893,2,19,Atlantic Highlands,,,"Collision w/ ""Mary A Williams""",Steel,,"Philadelphia, PA","Philadelphia, PA","New York, NY",6,,0,"$20,000",,,"Astern in tow of ""S S Kairn"""
Ivanhoe (1895),,,Tug steam,1883,"Philadelphia, PA",11/11/1895,1895,11,11,Sandy Hook point,,,Stranded,Steel,,"Philadelphia, PA","Deal, NJ","New York, NY",7,,0,"$10,000",,Sandy Hook,"Towing ""Irrawaddy"""
J & H Scull (1886),,,Schooner,1884,"English Creek, NJ",11/6/1886,1886,11,6,Absecon Inlet North shoal,,,Grounded,Wood,US,"Somers Point, NJ","Hatteras, NC","Atlantic City, NJ",6,,0,"$7,000",Lumber,Atlantic City,#76536; Refloated
J & H Scull (1892),,,Schooner,1884,"English Creek, NJ",1/18/1892,1892,1,18,Great Egg Harbor bar,39-17-30 N,74-32-30 W,Stranded & Leaking,Wood,US,"Somers Point, NJ","Bass River, NC","Atlantic City, NJ",6,,0,"$8,000",Lumber,Ocean City,#76536; Total loss
J A Hill,,,Barge,1903,,10/26/1925,1925,10,26,Pecks Beach,,,Foundered,,,,,,,,,,,,
J A Holmes,J H Holmes,,Schooner,1867,"Mears, MI",9/8/1917,1917,9,8,Barnegat,,,"Struck remains of ""Sumner""",Wood,US,"New York, NY","Hawksbury, NY","""A Southern port""",4,,0,,Lumber,,#12760; Broke up slowly; Total loss
J and C Merritt (1871),,,Schooner,1866,"English Creek, NJ",11/11/1871,1871,11,11,Barnegat,,,Capsized,,,"Somers Point, NJ",,,3,,0,,,,#12901; Recovered
J and C Merritt (1880),,,Schooner,1866,"English Creek, NJ",5/28/1880,1880,5,28,Townsends Inlet North bar,,,Stranded,,,"Somers Point, NJ",North Carolina,"Townsends Inlet, NJ",3,,0,"$1,500",Cedar lumber,Townsends Inlet #34,#12901; Refloated
J and C Merritt (1881),,,Schooner,1866,"English Creek, NJ",11/24/1881,1881,11,24,Great Egg Harbor Inlet North side,,,Stranded,,,"Somers Point, NJ","Somers Point, NJ","New York, NY",3,,0,"$2,000",,,"#12901; Refloated; See ""Hattie J"""
J and C Merritt (1886),,,Schooner,1866,"English Creek, NJ",1/7/1886,1886,1,7,Barnegat Shoal,,,Grounded,,,"Somers Point, NJ","Philadelphia, PA","Barnegat, NJ",3,,0,"$1,500",Lumber,Barnegat,#12901; Refloated
J B King & Co # 19,,,Schooner - Barge,1899,"Port Richmond, NY",2/23/1908,1908,2,23,Little Beach LSS SE 3.5 mi,,,Stranded,Steel,US,"New York, NY","Norfolk, VA","New York, NY",29,,0,"$220,000",Coal,Little Beach,"#77360; Refloated; See ""Gypsum King"""
J B King & Co # 20,,,Schooner - Barge,1899,"Port Richmond, NY",2/23/1908,1908,2,23,Little Beach LSS SE 3.5 mi,,,Stranded,Steel,US,"New York, NY","Norfolk, VA","New York, NY",29,,0,"$220,000",Coal,Little Beach,"#77385; Refloated; See ""Gypsum King"""
J B Perry,,,Schooner,,,4/12/1852,1852,4,12,Delaware Capes,,,Capsized; Abandoned,,,,"Philadelphia, PA","Falmouth, MA",,,0,,,,Total loss
J B Van Dusen (1878),,,Schooner 3 masted,1867,"Delphi Creek, MD",12/20/1878,1878,12,20,Brigantine Shoal,,,Stranded,,,"Philadelphia, PA",,,5,,0,,,Brigantine #25,#13788: Refloated
J B Van Dusen (1886),,,Schooner 3 masted,1867,"Delphi Creek, MD",5/29/1886,1886,5,29,Sandy Hook Romer Shoal,,,Stranded,,,"Philadelphia, PA",,,5,,0,,,,#13788: Refloated
J C Hartt,,Cornell Steamboat Co,Tug steam,1883,"Philadelphia, PA",9/29/1887,1887,9,29,Sandy Hook,,,"Collision w/ ""City of Brocton""",Wood,,"Philadelphia, PA",,Attending yacht races,,,,,,,#76417
J C McNaughton,,John C McNaughton,Schooner 3 masted,1889,"Milford, DE",4/25/1897,1897,4,25,Atlantic City,,,Stranded,Wood,US,"Philadelphia, PA","Haverstraw, NY","Atlantic City, NJ",5,,0,"$9,000",210 ton brick,,"#76783; Towed by ""F R Storey"""
J C Rahning,,,Bark,,,12/13/1864,1864,12,13,Allenhurst,,,Stranded,,,"Halifax, NS","Havana, Cuba","New York, NY",,,,,Sugar,,
J D Burrows,,,Schooner,,,1838 - 1878,1860,,,Barnegat Inlet NE 11.5 mi,,,Stranded,,,,,,,,,,,,Presumed wrecked
J D Ingraham,,,Schooner,1865,"Hartford, CT",11/28/1872,1872,11,28,Absecon Light,,,"Collision w/ ""Eva Belle""",,,"Middletown, CT","Philadelphia, PA","New Bedford, MA",,,,,,,#12967
J E DeBois,,,Sloop,1879,"Greenpoint, NY",10/31/1902,1902,10,31,Seabright LSS N 2 mi,,,Stranded,Wood,,"Perth Amboy, NJ","Perth Amboy, NJ",Fishing trip,7,2,0,"$2,000",,Seabright & Spermaceti Cove,#75798; Refloated
J E Simmons,,Lewis Smith,Schooner,1863,"Leesburg, NJ",11/8/1872,1872,11,8,Cape May,,,Stranded,,US,"Philadelphia, PA","Philadelphia, PA","Boston, MA",,,,,416 ton coal,,Refloated
J F Carver,,Carver & Benner,Schooner,1857,"Tremont, ME",4/5/1871,1871,4,5,Cape May,,,Damaged in heavy winds,,US,"Tremont, ME","Calais, ME","Philadelphia, PA",,,,,Lost 22000 pickets,,Lost deck cargo
J F Farland,,Avery et al,Schooner,1860,"Brookhaven, NY",10/1867,1867,10,,Sandy Hook Romer Shoal,,,Grounded,,US,"Brookhaven, NY",,,,,,,,,"Refloated by ""Rescue"""
J F Merry,,,Schooner - Barge,1874,"Damariscotta, ME",2/14/1901,1901,2,14,Absecon Inlet,,,Lost,Wood,US,"Boston, MA","Norfolk, VA","New Bedford, MA",,,,,Coal,,#75693
J G Conner (A),,,Schooner,1874,"Smith Landing, NJ",2/4/1884,1884,2,4,Little Egg LSS SW .5 mi,,,Grounded,,,"Chincoteague, VA","Chincoteague, VA","New York, NY",2,,0,"$1,500",Oysters,Little Egg # 23,#75731
J G Conner (B),,,Schooner,1874,"Smith Landing, NJ",3/4/1884,1884,3,4,Cold Spring Bar South point,,,Grounded,,,"Chincoteague, VA","Sand Shoals, VA","Great Egg Harbor, NJ",2,,0,"$1,500",Oysters,Cold Spring,#75731
J G Crate,,,Schooner,1865,"Absecon, NJ",7/5/1893,1893,7,5,Little Egg LSS SE 1.5 mi,,,Grounded,Wood,,"Somers Point, NJ","Haverstraw, NY","Atlantic City, NJ",3,,0,"$1,000",Brick,Little Egg,#12905; Refloated
J H Chadbourne,,,Schooner,,,2/26/1855,1855,2,26,Absecon bar,,,Grounded,,,,"Wilmington, NC","Boston, MA",,,,,,,
J H Holmes,,,Schooner,,,9/1/1917,1917,9,1,Barnegat Inlet Shoal,,,"Struck wreckage of ""Sumner""",,,,,,,,,,Lumber,,Broke up slowly
J Hardee,,,Schooner,,,1838 - 1878,1860,,,Squan Inlet S 3.5 mi,,,Wrecked,,,,,,,,,,,,
J Hartshorne,,,Schooner,,,1838 - 1878,1860,,,Squan Inlet S 9 mi,,,,,,,,,,,,,,,
J Henry Edmunds (1892),,J L Eldridge,Pilot schooner,1887,"Brooklyn, NY",9/26/1892,1892,9,26,Five Fathoms Bank Lightship E 8 mi,,,"Collision w/ ""Ralph M Hayward""",Wood,US,"Philadelphia, PA","Cape May, NJ",Pilot service,6,2,0,"$14,000",,,"#76665; Crew rescued by ""Ralph M Hayward"""
J Henry Edmunds (1898),,,Schooner,,,4/17/1898,1898,4,17,Ocean City LSS E 1.3 mi,,,Stranded,,,"Bridgeton, NJ","Scarborough, ME","Ocean City, NJ",6,,0,"$8,000",Ice,Ocean City,Refloated
J Henry Edmunds (1910),,,Schooner 3 masted,1889,"Dennisville, NJ",2/1/1910,1910,2,1,Sandy Hook,,,"Collision w/ ""William H Taylor""",Wood,US,"Boothbay, ME","Maurice River, NJ","Lynn, MA",6,,0,,Sand,,#76855
J Johnson,,,Pilot schooner,,,10/1868,1868,10,,Squan Beach,,,"Collision w/ ""Wanator""",,,,,,9,,,"$12,000",,,Total Loss
J K Stoneback,,,Schooner,,,4/1861,1861,4,,,,,Abandoned,,,,"New York, NY","Philadelphia, PA",,,,"$3,500",,,Total loss
J M Hilton,,Curtis Hilton,Motor vessel gas,1922,,7/8/1925,1925,7,8,Harvey Cedars,,,"Collision w/ ""George Washington""",Wood,,"Philadelphia, PA","New York, NY",Five Fathom Banks Fishing,12,,0,"$30,000",Ice,,#222120
J M Williams,,,Schooner,,,11/1846,1846,11,,Barnegat,,,Grounded in gale,,,,"Norfolk, VA","New York, NY",,,,,,,Total loss
J Marbs,J Marks,,Ship,,,10/2/1848,1848,10,2,File Mile Beach,,,Stranded & bilged,Wood,Germany,"Hamburg, Germany","Hamburg, Germany","New York, NY",,122,2,,,,Total loss
J Martin,,,Motor vessel diesel,1916,,2/7/1948,1948,2,7,Point Pleasant E 20 mi,,,Stranded,,,,,,,,,,,,#213982
J Nickerson,,Robert Given,Schooner,1879,"Brunswick, ME",5/9/1883,1883,5,9,Five Fathom Bank SSE 40 mi,,,"Collision w/ ""S Conant""",,,"Portland, ME","Baracoa, Cuba","New York, NY",,,,,,,Made New York for repairs
J Norman Riley,,,Motor vessel diesel,1928,,8/3/1931,1931,8,3,"Sewaren, NJ",,,Burned,,,,,,,,,,,,
J P Loffland,,,Schooner,,,12/24/1857,1857,12,24,Little Egg Harbor,,,Stranded,,,,,"New York, NY",,,,"$5,000",,,
J R Bodwell,,,Schooner,1899,"Bath, ME",10/16/1916,1916,10,16,Sandy Hook,,,Foundered and sank,Wood,US,"Baltimore, MD","Sullivan, ME","Philadelphia, PA",5,,0,,Paving stones,Sandy Hook #97,#75650; Total loss
J R Curdy,,,Schooner,,,3/19/1855,1855,3,19,Lower New York Bay,,,Collision in gale,,,,,,,,,,,,Total loss; crew lost
J R Moffett,,,Schooner,1893,"Pokomoke City, MD",1/24/1898,1898,1,24,Little Egg LSS W 1 mi,,,Stranded,,US,"Chincoteague, VA","James River, VA","West Creek, NJ",4,,0,"$2,500",Oysters,Little Egg,#77100; Refloated
J R Williams,,,Barge,,,8/4/1949,1949,8,4,,38-45-14 N,74-54-43 W,Wrecked,,,,,,,,,,,,
J Ricardo Jova,,,Schooner,,,11/26/1878,1878,11,26,Cape May E .75 mi,,,Stranded,,,"Philadelphia, PA",,,,,,,,Cape May #40,#13830; Refloated
J S Lamson,,,Steamship,1894,,11/19/1915,1915,11,19,"Pensauken Creek, NJ",,,Burned,,,,,,4,,0,,,,#77135
J T Weeks,,,Schooner,,,1838 - 1878,1860,,,Barnegat Inlet N 8.5 mi,,,Wrecked,,,,,,,,,,,,
J Townsend,,,Schooner,,,3/3/1870,1870,3,3,Brigantine Beach,,,Stranded,,,,,,5,,0,,,,
J V Wellington,,,Schooner,1861,"Philadelphia, PA",11/27/1886,1886,11,27,Hereford Inlet,,,Stranded,,,"Boston, MA","Boston, MA","Philadelphia, PA",,,,"$5,000",,Hereford #35 & 36,#12659: Refloated
J Vann,,,Schooner,,,5/5/1870,1870,5,5,Barnegat Shoal,,,Stranded,,,,,,6,,0,,,,
J W Heath,,,Schooner,,,6/22/1852,1852,6,22,Cape May,,,Capsized,,,,"Philadelphia, PA","Medford, MA",,,0,,Coal,,Sank; Total loss
J W Luce,,,Sloop,1875,"New London, CT",4/2/1889,1889,4,2,Absecon Inlet,38-23-00 N,74-23=30 W,Stranded,Wood,US,"Onancock, VA","Chincoteague, VA","Atlantic City, NJ",3,,0,"$1,000",Oysters,Atlantic City,#75767; total loss; 2/3 cargo saved
J W Morris,,E Pierce et al,Schooner,1868,"Newburgh, NY",10/8/1873,1873,10,8,Sandy Hook Point S 1 mi,,,Stranded,Wood,,"Squan, NJ","Newark, NJ",Virginia,4,,0,"$6,000",Lime,Sandy Hook #1,#75064; Refloated
J W Peasley,,,Schooner,,,11/20/1875,1875,11,20,Barnegat,,,Split sails in gale,,England,"Jonesport, ME","St John, NB","Philadelphia, PA",,,,,,,#75685
J W Tillett #26,,,Barge,1920,,12/30/1947,1947,12,30,Delaware River Penns Grove,,,"Collision w/ barge ""Maine""",,,,,,,,,,,,Sank; #20
J W Webster,,John R Pruyn,Schooner,1855,"New York, NY",4/13/1864,1864,4,13,"Long Branch, NJ",,,Grounded,,,"New York, NY","Port Royal, SC","New York, NY",,,,,In ballast,,
J W Wendt,,Seidenberg & Wendt,Ship,1855,"St John, NB",3/21/1889,1869,3,21,Forked River NE .75 mi,39-48-80 N,74-05-00 W,Stranded in storm,Wood,Germany,"Bremen, Germany","Bremen, Germany","New York, NY",28,,0,"$20,000",Iron & barrels of oil,Forked River & Island Beach,Total loss; Broke up
J-3,,,Blimp,,,4/4/1933,1933,4,4,Beach Haven offshore,,,,,US,,"Lakehurst, NJ",,7,,3,,,,Searching for survivors of Akron crash
Jabez Howes,,Sutton & Co,Ship,1877,"Newburyport, MA",1/1/1884,1884,1,1,Sandy Hook NNE .75 mi,,,Stranded in storm,,,"San Francisco, CA","San Francisco, CA","New York, NY",29,,0,"$100,000",,Sandy Hook,#15966; Refloated
Jack Tier,,,Schooner,1902,"Beaufort, NC",7/1/1904,1904,7,1,Barnegat Shoal,,,Grounded,,,"Beaufort, NC","Charleston, SC","Barnegat, NJ",3,,0,,,,#77552; Refloated
Jack's Spot,APL-31,U S Navy,Barracks craft,1944,"Everett, WA",7/23/2001,2001,7,23,Shark River Artificial Reef,40-06-60   N,73-41-50   W,Explosives,Steel,US,NJ AR,SR,21,,,,,,,Sponsor - Meyer Family
Jacob A Westervelt,,,Pilot boat,,,4/20/1858,1858,4,20,Sandy Hook E 270 mi,,,"Collision w/ ""Saxonia""",,,,,,,,1,,,,Sank
Jacob Bell # 4,,,Pilot schooner,,,3/25/1841,1841,3,25,Sandy Hook,,,Stranded,,,"New York, NY",,,,,,,,,Refloated
Jacob Duryea,,,Schooner,1851,"Brookhaven, NY",1/7/1892,1892,1,7,Cape May LSS NW .5 m,,,Grounded in gale,,,"Somers Point, NJ","Norfolk, VA","Atlantic City, NJ",4,,0,"$2,000",Lumber,Cape May,#13842; Total loss; crew saved
Jacob E Ridgeway,,J E Ridgeway,Schooner 3 masted,1873,"Nyack, NY",2/1/1880,1880,2,1,Sandy Hook,,,Damaged in hurricane,,US,"Philadelphia, PA","New York, NY","Para, Brazil",8,,0,"$15,000",General merchandise,,#75569; No assistance requested
Jacob G Neafie,,,Steamship,,,12/20/1876,1876,12,20,Sandy Hook Lightship E 10 mi,,,Boiler explosion,,,,"Brooklyn, NY","Hoboken, NJ",,,3,,In ballast,,Total loss
Jacob Hall,,,Sloop,,,1/3/1711,1711,1,3,Delaware Bay NJ side,,,Grounded,,,Bermuda,,Bermuda,,,,,,,
Jacob Jones (1917),DD-61,U S Navy,Destroyer,1916,"Camden, NJ",12/6/1917,1917,12,6,"Scilly Islands, England",,,Torpedoed by U-53,Steel,US,,"Brest, France","Queentown, Ireland",102,,64,,,,WWI war loss
Jacob Jones (1942),DD-130,U S Navy,Destroyer,1919,"Camden, NJ",2/28/1942,1942,2,28,Cape May,38-37-00 N,74-32-00 W,Torpedoed by U-578,Steel,US,"New York, NY","New York, NY",Sub Patrol,145,,134,,,,War loss
Jacob M Haskell,,Crowell & Thurlow,Schooner,1901,"Rockland, ME",6/2/1918,1918,6,2,Barnegat Light SE 50 mi,39-36-00 N,73-01-30 W,Torpedoed by U-151,Wood,US,"Boston, MA","Norfolk, VA","Portland, ME",10,,0,,Coal,,#77478;  Total loss; Black Sunday wreck
Jacob Myers,,,Steamer,,,1/10/1873,1873,1,10,Barnegat Shoals,,,Stranded,,US,,"Philadelphia, PA","New York, NY",,,0,,,,Refloated by Coast Wrecking Co
Jacob V Troop,,J V Troop & Sons,Bark,1869,"Tynemouth, NS",1/16/1876,1876,1,16,Townsends Inlet S 3 mi,,,Stranded,,England,"St John, NB, Canada ","Calais, ME","New York, NY",22,,0,,Guano,Stone Harbor #35,#59267; Refloated; More to story in file
Jacob Vaughn,J Vann,D S Parker & Amos Falkinburgh,Schooner,1854,"Forked River, NJ",5/5/1870,1870,5,5,Barnegat Inlet,,,Grounded,Wood,US,"Forked River, NJ","New York, NY","Forked River, NJ",4,,0,,Coffee & assorted cargo,,Total loss
Jalanta,,Andres Johres Rederi,Tanker,1952,"Kielly Howaldstwerke, Germany",3/1/1959,1959,3,1,Squan Inlet S 5 mi,,,"Collision w/ ""Constitution"" in fog",,Panama,"Sandefjord, Norway","Brooklyn, NY",Venezuela,42,,0,,Empty,USCG Cape May,2 parts towed to NY
James A,,Kiewit Peter Sons Co,Motor vessel,1959,"Toledo, OH",4/20/1973,1973,4,20,Barnegat Lightship N,,,Foundered,Steel,US,"Cleveland, OH",,Misc service,,,,,,,#280037
James A Bayard,,,Schooner,,,1/1838,1838,1,,Egg Harbor,,,Abandoned at sea,,,,,,,,,,,,
James A Saunders,,,Schooner,,,4/1850,1850,4,,Absecon,,,Stranded; Bilged,,,"Hampton, VA","Hampton, VA","New York, NY",,,,,Oysters,,
James Andrews,,A F Cochran,Bark,1847,"Newcastle, ME",11/8/1862,1862,1,18,Barnegat Shoal,,,Stranded,Wood,US,"Boston, MA","Washington, DC","Portsmouth Grove, RI",8,,8,,,,#1426; Total loss
James B Anderson,,Hall & Son,Schooner,1871,"Frederica, DE",6/8/1879,1879,6,8,Barnegat SE 8 mi,,,Lost sails in gale,,,"Frederica, DE","Bridgeport, CT","Philadelphia, PA",,,,,,,#75351; Partial loss
James B Johnson,,George Shaw,Schooner,1858,"Nacote Creek, Galloway, NJ",1/24/1890,1890,1,24,Forked River LSS S .5 m,,,Stranded,Wood,US,"Philadelphia, PA","Bogue Inlet, NC","New York, NY",4,,0,"$4,500",225 ton lumber,"Forked River 15, 16, 17",#12912
James B Ogden,,,Schooner,1880,"Alexandria, VA",2/5/1888,1888,2,5,Sandy Hook Flynns Knoll,,,Stranded,Wood,US,"New York, NY","Newport News, VA","New York, NY",9,,0,"$25,000",Coal,Sandy Hook,#76154; Refloated
James Baird,,D A Mullen,Schooner,1891,"Camden, NJ",8/24/1893,1893,8,24,Barnegat ENE 25 mi,,,Dismasted in gale,Wood,,"Philadelphia, PA","Sullivan, ME","Philadelphia, PA",4,3,1,"$25,000",575 ton Paving stones,,#77000; Capt injured and died
James Bewley,,,Schooner,,,2/1867,1867,2,,Barnegat Inlet N 6.5 mi,,,Stranded,,,,,,,,,,,,
James Boyce Jr,,H W Benedict,Schooner 3 masted,1877,"Fairhaven, CT",9/16/1886,1886,9,16,Barnegat E 45 mi,,,"Collision w/ ""Rebecca W Huddell""",,,"New Haven, CT",,,,,,,,,#76375
James Butler,,,Schooner,1876,"Toltenville, NY",2/19/1893,1893,2,19,Sandy Hook,,,Foundered,,,"New York, NY","Perth Amboy, NJ","Sandy Hook, NJ",4,,0,,Coal,,#13265; Sank
James C Fisher,,,Schooner,,,1/3/1852,1852,1,3,Seven Mile Beach,,,Stranded,,,,,"New York, NY",,,,,,,Crew saved; ship & cargo lost
James Cook,,B Sherman & Co,Bark,1851,"Waldoboro, ME",6/6/1862,1862,6,6,Corsons Inlet bar,,,Stranded,,,"Boston, MA",Cuba,"New York, NY",,,,,Molasses,,
James Cropper,,Black Ball Line,Packet ship,,,12/15/1832,1832,12,15,Delaware Bay entrance,,,Lost,,,,,,,,,,,,
James D Godfrey,,,Schooner,,,12/28/1878,1878,12,28,Cape May LSS E .25 mi,,,Stranded in ice,,,"Dorchester, NJ","Philadelphia, PA","Leesburg, VA",,,,,,Cape May #40,#75456; Refloated
James D Leary,,,Steamship,1868,,10/25/1905,1905,10,25,"Newark Bay, NJ",,,Burned,,,,,,6,,0,,,,#95898
James D Nicol,,,Tug steam,,,6/24/1894,1894,6,24,Sandy Hook,,,Foundered,,US,,"New York, NY",Fishing cruise,5,82,35,,,,Sank; Overloaded w/ passengers
James E Kelsey,,W A Bodine,Schooner,1871,"Millville, NJ",4/6/1885,1885,4,6,Little Egg Harbor Inlet,,,Stranded,,,"New York, NY","Keyport, NJ","Rappahanock, VA",,,,,In ballast,Little Egg,#75321; Refloated
James Emott,,,Schooner,,,12/15/1840,1840,12,15,Seven Mile Beach,,,Grounded,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",,,,,,,
James Fisher,,,Schooner,,,10/12/1834,1834,10,12,Barnegat Inlet,,,Stranded,,,,,,,,,,,,Ship & cargo plundered by land pirates
James Funk #22 (1863),,,Pilot boat,,,10/16/1863,1863,10,16,Sandy Hook,,,"Collision w/ ""Union""",,US,"New York, NY","New York, NY",Pilot service,,,,,,,"Slight damage; ""Union"" also hit ""Moses H Grinnell #1"" same day"
James Funk #22 (1864),,,Pilot boat,,,8/12/1864,1864,8,12,Sandy Hook,,,"Captured by ""Tallahasse""",,US,"New York, NY","New York, NY",Pilot service,,,,,,,Civil war loss to Confederate privateer
James Gordon Bennett #7 (1901),David T Leahy,,Pilot schooner,1890,"Brooklyn, NY",8/17/1901,1901,8,17,Scotland Lightship,,,"Collision w/ ""Alene""",Wood,US,"New York, NY","New York, NY",Pilot service,10,,4,,None,,#157284; Cut in two; Total loss
James Gordon Bennett #9 (1893),,New York Pilots,Pilot schooner,1870,"Brooklyn, NY",1/12/1893,1893,1,12,Sea Girt LSS N .5 mi,,,Stranded in ice,Wood,US,"New York, NY",,Pilot service,9,,0,"$12,000",None,Sea Girt & Monmouth Beach,#75191; Total loss
James H Braine,,,Schooner,,,1853,1853,,,Absecon Beach,,,Stranded,,,"Yarmouth, NS",West Indies,"New York, NY",,,,,,,Near total loss
James H Gordon,,W Irelass,Schooner,1871,"Mays Landing, NJ",4/27/1886,1886,4,27,Cape May Point,,,Damaged in storm; Lost sails,,,,"Portland, ME","Philadelphia, PA",,,,,,,#75335
James H Hoyt,,C D Anderson,Schooner,1853,"Belleville, NJ",3/15/1870,1870,3,15,Atlantic Highlands,,,Stranded in gale,,,"Staten Island, NY",,,5,,5,,,,Total loss
James H Strupe,,,Schooner,,,4/4/1861,1861,4,4,Pecks Beach,,,Stranded,,,,"Boston, MA","Philadelphia, PA",,,,,,,Refloated
James Horan,,,Barge,1918,,9/14/1929,1929,9,14,"Wainers, NJ",,,Burned,,,,,,1,,0,,,,#167236
James Howard,,Thomas Howard,Barge,,"South Freeport, ME",2/19/1927,1927,2,19,Beach Haven S .25 mi,,,Grounded in storm,Steel,,"New York, NY","Norfolk, VA","Boston, MA",3,,,,Soft coal,,#168466; Refloated
James I Day,,Benjamin Baker,Schooner,1855,"Stonington, CT",12/10/1864,1864,12,10,Squan Inlet,,,Foundered,Wood,US,"Stonington, CT","Philadelphia, PA","Dighton, MA",,,,,,,#2417; Total loss
James J Duffy,,,Barge,1904,,7/16/1917,1917,7,16,"Shady Side, NJ",,,"Collision w/ yacht ""United States""",,,,,,1,,0,,,,#162337
James Jones,,William Tilton,Schooner,1858,"Bass River, NJ",10/31/1883,1883,10,31,Barnegat Shoal,,,Stranded,Wood,US,"Perth Amboy, NJ","Philadelphia, PA","Somerset, MA",6,,0,"$5,000",Coal,Barnegat & Forked River,#13351; Total loss
